Species,Mock_v4_NE_br1,Mock_v4_NE_br2,Mock_v4_NE_br3,Mock_v5_NF_br1,Mock_v5_NF_br2,Mock_v5_NF_br3,Mock_v4_NG_br1,Mock_v4_NG_br2,Mock_v4_NG_br3,Mock_v5_NH_br1,Mock_v5_NH_br2,Mock_v5_NH_br3
Brosme brosme,43252,36416,32376,26537,26282,55800,15073,129247,74152,37606,34698,82587
Cyclopterus lumpus,106546,55570,146769,63611,38494,80634,103918,103807,120553,58797,37921,95245
Gadus morhua,65,70,51,72763,56460,111345,35,108,61,82212,52685,112193
Hippoglossoides platessoides,320,26,36,103953,53527,96043,21,31,11,83638,50442,118507
Leptoclinus maculatus,569933,266176,206643,228228,124488,237519,506457,321705,248839,194652,107854,256737
Mallotus villosus,57,25,29,72751,35851,94465,33,28,28,58157,31141,90112
Maurolicus muelleri,25526,1702,3,99815,29082,130790,20263,12207,34132,120742,58762,162580
Myoxocephalus scorpius,68487,11,11921,75120,44139,77521,78753,19253,38,70449,48500,91900
Pholis gunnellus,24,14,8,66110,36235,58501,53,40,20,52223,38270,75811
Pleuronectes platessa,15,3,6,41550,19983,44716,25,17,19,44234,27283,63749
